skill,description,foundational_source,foundational_url,foundational_authors,course_sources,course_urls,course_instructors,confidence,contribution_scope,notes
lookup-misp,Two-way MISP integration for events/attributes/objects.,MISP Project (Malware Information Sharing Platform),https://www.misp-project.org/,"MISP Project / CIRCL (Andras Iklody, Alexandre Dulaunoy, Christophe Vandeplas)",Filigran / OpenCTI: STIX modelling + platform training; threatintel.eu: CTI programme-building workshops + writing,https://filigran.io/; https://threatintel.eu/,Filigran; Andreas Sfakianakis,HIGH,Foundational framework,MISP is open-source under AGPL; born at CIRCL Luxembourg.
lookup-otx,Wrapper skill for AlienVault OTX pulse lookups.,AlienVault OTX,https://otx.alienvault.com/,AT&T Cybersecurity / LevelBlue,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
lookup-ransomwarelive,Wrapper for ransomware.live victim/group lookups.,ransomware.live (leak-site aggregation),https://www.ransomware.live/,Julien Mousqueton,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); Recorded Future University: Threat Intelligence Fundamentals,https://www.antisyphontraining.com/; https://university.recordedfuture.com/,Andy Piazza; Recorded Future,HIGH,Data/API provider,"Free community resource by Julien Mousqueton; aggregates 27k+ victims, 330+ groups."
lookup-shodan,Wrapper skill for Shodan host reconnaissance.,Shodan,https://www.shodan.io/,Shodan LLC (John Matherly),AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
lookup-urlscan,Wrapper for urlscan.io submission and search.,urlscan.io,https://urlscan.io/,urlscan.io GmbH (Johannes Gilger),AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
lookup-virustotal,Wrapper skill for VirusTotal reputation lookups.,VirusTotal,https://www.virustotal.com/,VirusTotal / Google,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Data/API provider,
mitre-attack,MITRE ATT&CK local dataset reference.,MITRE ATT&CK Knowledge Base,https://attack.mitre.org/,MITRE Corporation,MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://mad.mitre-engenuity.org/; https://academy.attackiq.com/,MITRE Engenuity; Katie Nickels,HIGH,Foundational framework,ATT&CK released under custom terms; STIX dataset at github.com/mitre/cti.
stix-bundle,STIX 2.1 bundle creation reference.,OASIS STIX 2.1 specification,https://docs.oasis-open.org/cti/stix/v2.1/os/stix-v2.1-os.html,OASIS CTI Technical Committee,Filigran / OpenCTI: STIX modelling + platform training; MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI,https://filigran.io/; https://mad.mitre-engenuity.org/,Filigran; MITRE Engenuity,HIGH,Foundational framework,"OASIS Open standard. Co-chairs: Bret Jordan, Trey Darley (early); Jane Ginn, Marlon Taylor (later)."
tlp-guide,Traffic Light Protocol v2.0 application guide.,FIRST.org Traffic Light Protocol v2.0,https://www.first.org/tlp/,FIRST (Forum of Incident Response and Security Teams),AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://threatintel.eu/,Katie Nickels; Andreas Sfakianakis,HIGH,Foundational framework,TLP v2.0 published by FIRST in August 2022.
sigma-writing,SIGMA detection rule writing guide.,SigmaHQ project,https://github.com/SigmaHQ/sigma,"Florian Roth, Thomas Patzke (originators); SigmaHQ contributors",MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://mad.mitre-engenuity.org/; https://academy.attackiq.com/,MITRE Engenuity; Katie Nickels,HIGH,Foundational framework,Sigma created 2017 by Florian Roth (Nextron Systems) and Thomas Patzke.
yara-writing,YARA rule writing guide for malware identification.,YARA project,https://virustotal.github.io/yara/,Victor M. Alvarez (VirusTotal),Mandiant Academy (free tier): CTI fundamentals; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.mandiant.com/academy; https://academy.attackiq.com/,Mandiant / Google Cloud; Katie Nickels,HIGH,Foundational framework,YARA created by Victor Alvarez; maintained at github.com/VirusTotal/yara.
kql-writing,KQL writing guide for Microsoft Sentinel/Defender.,Microsoft Kusto Query Language documentation,https://learn.microsoft.com/azure/data-explorer/kusto/query/,Microsoft,MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI,https://mad.mitre-engenuity.org/,MITRE Engenuity,HIGH,Foundational framework,KQL is Microsoft's query language for Azure Data Explorer / Sentinel / Defender.
source-assessment,"NATO Admiralty Scale source rating (A–F, 1–6).",NATO Admiralty Scale (AAP-6 / STANAG 2511 lineage),https://nso.nato.int/nso/,NATO,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://threatintel.eu/,Katie Nickels; Andreas Sfakianakis,HIGH,Foundational framework,Six-by-six reliability+credibility matrix used across NATO and law enforcement.
ach,Analysis of Competing Hypotheses structured technique.,"Heuer, R.J. Jr. — Psychology of Intelligence Analysis (CIA CSI, 1999)",https://www.cia.gov/resources/csi/books-monographs/psychology-of-intelligence-analysis-2/,Richards J. Heuer Jr. (CIA Center for Study of Intelligence),AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://www.antisyphontraining.com/; https://threatintel.eu/,Katie Nickels; Andy Piazza; Andreas Sfakianakis,HIGH,Foundational framework,Free book at CIA CSI; URL contains CIA's typo 'Pyschology' but resolves.
structured-analytic-techniques,Index of Structured Analytic Techniques.,"Heuer, R.J. & Pherson, R.H. — Structured Analytic Techniques for Intelligence Analysis (CQ Press / SAGE, 3rd ed. 2020)",https://us.sagepub.com/en-us/nam/structured-analytic-techniques-for-intelligence-analysis/book259494,Richards J. Heuer Jr. & Randolph H. Pherson,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://www.antisyphontraining.com/; https://threatintel.eu/,Katie Nickels; Andy Piazza; Andreas Sfakianakis,HIGH,Foundational framework,Pherson Associates LLC (pherson.org) is the practitioner side; SAGE/CQ Press publishes the book.
key-assumptions-check,Key Assumptions Check structured technique.,Heuer & Pherson — Structured Analytic Techniques,https://us.sagepub.com/en-us/nam/structured-analytic-techniques-for-intelligence-analysis/book259494,Richards J. Heuer Jr. & Randolph H. Pherson,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://academy.attackiq.com/; https://www.antisyphontraining.com/,Katie Nickels; Andy Piazza,HIGH,Foundational framework,
red-team-analysis,Devil's-advocate / red-team analytic technique.,Heuer & Pherson — Structured Analytic Techniques (Red Team Analysis chapter); US military red-teaming doctrine,https://us.sagepub.com/en-us/nam/structured-analytic-techniques-for-intelligence-analysis/book259494,Heuer & Pherson; UFMCS (US Army University of Foreign Military and Cultural Studies),AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing,https://www.antisyphontraining.com/; https://threatintel.eu/,Andy Piazza; Andreas Sfakianakis,MEDIUM,Foundational framework,Red-teaming has both intel-analytic and military lineages; UFMCS at Fort Leavenworth is the canonical military source.
horizon-scanning,Strategic forecasting and weak-signal scanning.,UK Government Office for Science Futures Toolkit + general SAT (Heuer/Pherson 'Indicators of Change'),https://www.gov.uk/government/publications/futures-toolkit-for-policy-makers-and-analysts,UK GO-Science; Heuer & Pherson,threatintel.eu: CTI programme-building workshops + writing; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://threatintel.eu/; https://academy.attackiq.com/,Andreas Sfakianakis; Katie Nickels,MEDIUM,Major influence,Methodology blends UK Government Office for Science horizon-scanning with intel-community SAT.
confidence-levels,Confidence-level scale for analytical judgments.,MISP confidence taxonomy + ODNI ICD 203 'Analytic Standards',https://www.dni.gov/files/documents/ICD/ICD%20203%20Analytic%20Standards.pdf,MISP Project + US Office of the Director of National Intelligence (ODNI),AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://threatintel.eu/,Katie Nickels; Andreas Sfakianakis,HIGH,Foundational framework,
likelihood-language,Probability yardstick for forward-looking statements.,ODNI ICD 203 + Sherman Kent's 'Words of Estimative Probability' (1964) + UK PHIA Probability Yardstick,https://www.cia.gov/static/Words-of-Estimative-Probability.pdf,Sherman Kent (CIA); ODNI; UK PHIA,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://threatintel.eu/,Katie Nickels; Andreas Sfakianakis,HIGH,Foundational framework,"Three lineages: Kent 1964, ODNI ICD 203, UK Professional Head of Intelligence Assessment yardstick."
threat-assessment,Intent + Capability + Opportunity threat-assessment methodology.,Classic intelligence doctrine (Joint Pub 2-0); UK CONTEST/JTAC framing,https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp2_0.pdf,US DoD Joint Staff (JP 2-0); broader intel community,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing; Mandiant Academy (free tier): CTI fundamentals,https://www.antisyphontraining.com/; https://threatintel.eu/; https://www.mandiant.com/academy,Andy Piazza; Andreas Sfakianakis; Mandiant / Google Cloud,MEDIUM,Major influence,Intent+Capability+Opportunity is widely used; no single canonical author.
campaign-tracking,Campaign documentation template (Diamond Model–anchored).,"Caltagirone, Pendergast, Betz — The Diamond Model of Intrusion Analysis (2013)",https://www.activeresponse.org/wp-content/uploads/2013/07/diamond.pdf,"Sergio Caltagirone, Andrew Pendergast, Christopher Betz",AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals,https://academy.attackiq.com/; https://www.mandiant.com/academy,Katie Nickels; Mandiant / Google Cloud,HIGH,Foundational framework,DTIC record: ADA586960. Authors at Center for Cyber Intelligence Analysis and Threat Research.
indicator-pivoting,Indicator pivoting decision tree across IOC types.,David J. Bianco — Pyramid of Pain (2013); Diamond Model,http://detect-respond.blogspot.com/2013/03/the-pyramid-of-pain.html,David J. Bianco; Caltagirone/Pendergast/Betz,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI,https://www.antisyphontraining.com/; https://academy.attackiq.com/; https://mad.mitre-engenuity.org/,Andy Piazza; Katie Nickels; MITRE Engenuity,HIGH,Foundational framework,Bianco's original Blogspot post is canonical; SANS mirror at sans.org/tools/the-pyramid-of-pain.
threat-actor-profiling,Threat actor profile template.,Diamond Model + MITRE ATT&CK Groups,https://attack.mitre.org/groups/,MITRE Corporation; Caltagirone/Pendergast/Betz,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://academy.attackiq.com/; https://www.mandiant.com/academy; https://www.antisyphontraining.com/,Katie Nickels; Mandiant / Google Cloud; Andy Piazza,HIGH,Major influence,"Profile schema synthesised from ATT&CK Groups, Diamond Model, and vendor profile conventions (Mandiant, CrowdStrike)."
vulnerability-intelligence,"CVE prioritisation combining CVSS, EPSS, KEV, weaponisation.",FIRST.org CVSS + FIRST.org EPSS + CISA Known Exploited Vulnerabilities catalog,https://www.first.org/cvss/ ; https://www.first.org/epss/ ; https://www.cisa.gov/known-exploited-vulnerabilities-catalog,"FIRST (CVSS, EPSS); CISA (KEV)",Recorded Future University: Threat Intelligence Fundamentals; AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://university.recordedfuture.com/; https://academy.attackiq.com/,Recorded Future; Katie Nickels,HIGH,Foundational framework,EPSS led by Jay Jacobs et al. KEV launched by CISA Nov 2021.
malware-analysis,Static + dynamic malware analysis methodology.,"Sikorski & Honig — Practical Malware Analysis (No Starch Press, 2012); SANS FOR610 / FOR710 syllabi (concepts)",https://nostarch.com/malware,Michael Sikorski & Andrew Honig,Mandiant Academy (free tier): CTI fundamentals,https://www.mandiant.com/academy,Mandiant / Google Cloud,MEDIUM,Major influence,Sikorski/Honig is the de-facto open textbook; SANS courses are paid but their public materials inform the methodology.
osint-methodology,Structured OSINT collection methodology.,Bellingcat Online Investigation Toolkit; Michael Bazzell — IntelTechniques / OSINT Techniques (open editions); SANS SEC487 concepts,https://www.bellingcat.com/resources/ ; https://inteltechniques.com/,Bellingcat (Eliot Higgins et al.); Michael Bazzell,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing,https://www.antisyphontraining.com/; https://threatintel.eu/,Andy Piazza; Andreas Sfakianakis,MEDIUM,Major influence,Bellingcat's free toolkit + Bazzell's open OSINT material are the standard public references.
intelligence-sharing,"Sharing models, standards (STIX/TAXII), MISP, ISACs, FIRST.",OASIS STIX/TAXII; MISP Project; FIRST.org; CISA AIS programme,https://oasis-open.github.io/cti-documentation/ ; https://www.misp-project.org/ ; https://www.first.org/,OASIS CTI TC; MISP/CIRCL; FIRST; CISA,Filigran / OpenCTI: STIX modelling + platform training; threatintel.eu: CTI programme-building workshops + writing,https://filigran.io/; https://threatintel.eu/,Filigran; Andreas Sfakianakis,HIGH,Foundational framework,
intelligence-writing,"Finished-intelligence writing guide (BLUF, active voice, sourcing).",ODNI ICD 203 + Sherman Kent's analytic-writing tradition + 'Style Manual and Writers Guide for Intelligence Publications' (ODNI),https://www.dni.gov/files/documents/ICD/ICD%20203%20Analytic%20Standards.pdf,"ODNI; Sherman Kent (CIA, lineage)",AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://academy.attackiq.com/; https://threatintel.eu/; https://www.antisyphontraining.com/,Katie Nickels; Andreas Sfakianakis; Andy Piazza,HIGH,Foundational framework,
quality-control,Peer-review checklist for intelligence products.,"ODNI ICD 203 'Analytic Standards' (sourcing, logic, expression of uncertainty)",https://www.dni.gov/files/documents/ICD/ICD%20203%20Analytic%20Standards.pdf,ODNI,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; threatintel.eu: CTI programme-building workshops + writing,https://academy.attackiq.com/; https://threatintel.eu/,Katie Nickels; Andreas Sfakianakis,HIGH,Foundational framework,
writing-assessments,Templates for threat / risk / vulnerability assessments.,ODNI ICD 203 (analytic standards); NIST SP 800-30 Rev. 1 (risk assessment); UK NCSC threat-assessment guidance,https://csrc.nist.gov/pubs/sp/800/30/r1/final,ODNI; NIST; UK NCSC,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); threatintel.eu: CTI programme-building workshops + writing; Recorded Future University: Threat Intelligence Fundamentals,https://www.antisyphontraining.com/; https://threatintel.eu/; https://university.recordedfuture.com/,Andy Piazza; Andreas Sfakianakis; Recorded Future,MEDIUM,Major influence,
pir-management,Priority Intelligence Requirements lifecycle.,US Joint Publication 2-0 'Joint Intelligence' (PIR doctrine); commercial-CTI synthesis,https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp2_0.pdf,US DoD Joint Staff,threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://threatintel.eu/; https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andreas Sfakianakis; Andy Piazza; Katie Nickels,MEDIUM,Foundational framework,Sfakianakis's BSides Athens 2024 + FIRST CTI 2023 talks specifically address PIR lifecycle for CTI teams.
stakeholder-management,Stakeholder mapping and tailored intelligence delivery.,General CTI program practice; SANS CTI Survey series (Nickels/Brown); Sfakianakis PIR materials,https://www.sans.org/white-papers/2023-cti-survey-keeping-up-changing-threat-landscape,Practitioner consensus; no single canonical source,threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://threatintel.eu/; https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andreas Sfakianakis; Andy Piazza; Katie Nickels,LOW,Practical synthesis from course,No single canonical doctrine; reconstructed from course material and practitioner writing.
feedback-loops,Feedback loop implementation for continuous CTI improvement.,CTI lifecycle (Joint Pub 2-0 'Intelligence Process'); commercial CTI program practice,https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/jp2_0.pdf,US DoD Joint Staff; practitioner consensus,threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://threatintel.eu/; https://www.antisyphontraining.com/,Andreas Sfakianakis; Andy Piazza,LOW,Practical synthesis from course,Feedback as part of intel cycle is doctrine; the implementation specifics are practitioner synthesis.
maturity-assessment,5-level x 6-dimension CTI programme maturity model.,"Mandiant Intelligence Capability Discovery (ICD) — CMMI-derived 5-level x 6-capability-area CTI maturity framework",https://cloud.google.com/blog/products/identity-security/cti-program-maturity-assessment/,"John Doyle, Andrew Close, Steven Savoldelli, John Barth, Mark Thomasson, Sachin Kalra (Mandiant / Google Cloud); CMMI Institute (Carnegie Mellon SEI) for level lineage",threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); Mandiant Academy (free tier): CTI fundamentals,https://threatintel.eu/; https://www.antisyphontraining.com/; https://www.mandiant.com/academy,Andreas Sfakianakis; Andy Piazza; Mandiant / Google Cloud,MEDIUM,Major influence,"Skill's 5x6 structure is an adaptation of Mandiant ICD (Doyle et al.); dimension names are renamed for operational clarity (Collection / Analysis / Production / Dissemination / Management / Tooling vs. ICD's Organizational Role / Services & Use Cases / Analyst Capability / Intelligence Process Lifecycle / Analytic Practices / Technology Integration). Adjacent community alternative: CTI-CMM (DeBolt/Connor et al., Intel 471 + IBM X-Force) at https://cti-cmm.org/ — structurally different (4 levels x 10 stakeholder domains)."
sops,Index of standard operating procedures for CTI ops.,Internal Liberty91 + intel-community SOP practice,,Liberty91 (internal),threatintel.eu: CTI programme-building workshops + writing; AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can),https://threatintel.eu/; https://www.antisyphontraining.com/,Andreas Sfakianakis; Andy Piazza,LOW,Internal Liberty91 work,SOPs are organisational artefacts; no canonical external source.
cti-orchestrator,Default routing skill for CTI requests.,Internal Liberty91 architecture (skill composition pattern),,Liberty91 (internal),,,,HIGH,Internal Liberty91 work,Architectural pattern; not informed by external sources.
cti-setup,API-key configuration walkthrough for the pack.,Internal Liberty91 architecture,,Liberty91 (internal),,,,HIGH,Internal Liberty91 work,Internal tooling.
ioc-enrichment-workflow,Workflow for routing raw IOCs to /lookup-* skills.,Pyramid of Pain (Bianco) — IOC type hierarchy informs routing logic,http://detect-respond.blogspot.com/2013/03/the-pyramid-of-pain.html,David J. Bianco (concept); Liberty91 (workflow),AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,MEDIUM,Practical synthesis from course,Skill is a Liberty91 composition; the IOC-type hierarchy it routes on is Bianco's.
ioc-export,IOC export formats and procedures.,OASIS STIX 2.1; OpenIOC (Mandiant); MISP project; CSV (general),https://docs.oasis-open.org/cti/stix/v2.1/os/stix-v2.1-os.html ; https://github.com/mandiant/OpenIOC_1.1 ; https://www.misp-project.org/,OASIS CTI TC; Mandiant (OpenIOC); MISP/CIRCL,Filigran / OpenCTI: STIX modelling + platform training; MITRE ATT&CK Defender (MAD): ATT&CK Fundamentals + CTI,https://filigran.io/; https://mad.mitre-engenuity.org/,Filigran; MITRE Engenuity,HIGH,Foundational framework,OpenIOC originated at Mandiant (now retired but still seen in legacy data).
cti-hyperloop,CTI Hyperloop framework — dual-loop intelligence lifecycle.,"Jongman, R. (2023) — 'Process Hyperloop: A How-To Guide for Modern Cyber Threat Intelligence', Google Cloud / Mandiant blog",https://cloud.google.com/blog/topics/threat-intelligence/cti-process-hyperloop/,Renze Jongman (Mandiant / Google Cloud),,,,HIGH,Internal Liberty91 work,User's own published work; included for historical attribution. Repo author = original framework author.
darkweb-collection,"Dark web collection methodology, source lists, and CLIs.","OSINT community methodology (Bellingcat, OSINT Curious Project); vendor methodology (Recorded Future, KELA, Flashpoint, DarkOwl reports); CIRCL Onion-services research",https://osintcurio.us/ ; https://www.bellingcat.com/resources/,"Bellingcat; OSINT Curious Project; vendor research (KELA, Flashpoint, RF, DarkOwl)",AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); Recorded Future University: Threat Intelligence Fundamentals; threatintel.eu: CTI programme-building workshops + writing,https://www.antisyphontraining.com/; https://university.recordedfuture.com/; https://threatintel.eu/,Andy Piazza; Recorded Future; Andreas Sfakianakis,MEDIUM,Major influence,Forum/Telegram source lists curated from vendor reporting and community OSINT writeups; see SKILL.md references/ for details.
ip-investigation,Multi-source IP investigation chain.,"Composition of seven public threat-intel platforms (VirusTotal, Shodan, AbuseIPDB, GreyNoise, OTX, Censys); Pyramid of Pain pivot logic",http://detect-respond.blogspot.com/2013/03/the-pyramid-of-pain.html,Liberty91 (composition); Bianco (pivot logic); platform owners,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Practical synthesis from course,Investigation pattern shaped by Andy Piazza's 'Practical CTI' workflow lessons.
domain-investigation,Multi-source domain investigation chain.,"Composition of VirusTotal, urlscan.io, Shodan (DNS), OTX, ransomware.live, Censys",,Liberty91 (composition); platform owners,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Practical synthesis from course,
hash-investigation,Multi-source file-hash investigation chain.,Composition of VirusTotal + OTX; chains into /malware-analysis,,Liberty91 (composition); platform owners,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); Mandiant Academy (free tier): CTI fundamentals,https://www.antisyphontraining.com/; https://www.mandiant.com/academy,Andy Piazza; Mandiant / Google Cloud,HIGH,Practical synthesis from course,
url-investigation,Multi-source URL investigation chain.,Composition of urlscan.io + VirusTotal + OTX,,Liberty91 (composition); platform owners,AntiSyphon: Practical Cyber Threat Intelligence (Pay-What-You-Can); AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK,https://www.antisyphontraining.com/; https://academy.attackiq.com/,Andy Piazza; Katie Nickels,HIGH,Practical synthesis from course,
china-cyber-espionage,Knowledge cell: PRC state-sponsored cyber operations.,"Vendor research (Mandiant, CrowdStrike, Microsoft Threat Intel, Recorded Future); govt advisories (CISA, FBI, NSA, NCSC); MITRE ATT&CK Groups",https://attack.mitre.org/groups/,Mandiant; CrowdStrike; Microsoft TI; CISA; MITRE,AttackIQ Academy: Foundations of CTI / Operationalizing MITRE ATT&CK; Mandiant Academy (free tier): CTI fundamentals; Recorded Future University: Threat Intelligence Fundamentals,https://academy.attackiq.com/; https://www.mandiant.com/academy; https://university.recordedfuture.com/,Katie Nickels; Mandiant / Google Cloud; Recorded Future,MEDIUM,Major influence,See SKILL.md '## Sources & References' for full bibliography of vendor reports and govt advisories.
